# {"t_start": 1601364204.6875687, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
1380.0,2016,31972.540319
1284.0,2012,32091.418953
1332.0,1840,32195.929904
1848.0,2664,32355.049136
948.0,1738,32452.836431
948.0,1484,32543.916457
1848.0,2631,32695.065443
804.0,1313,32770.428649
996.0,1442,32861.453412
1236.0,1686,32958.039208
900.0,1602,33048.030893
660.0,1201,33116.409996
1140.0,1510,33206.799045
852.0,1307,33281.558558
1380.0,1985,33399.319594
1236.0,2275,33528.358572
1332.0,1775,33632.259948
660.0,1253,33706.700963
1284.0,1597,33797.443604
1284.0,1957,33915.745078
2108.0,2728,34073.577869
2056.0,2564,34224.739762
900.0,1510,34313.477545
1484.0,2759,34473.101685
2160.0,2816,34637.305959
852.0,1346,34719.962343
708.0,1099,34784.546235
616.0,1297,34860.036259
1380.0,1584,34949.270293
1588.0,2440,35092.972
1380.0,1597,35189.460676
660.0,1036,35249.784985
1900.0,2280,35385.973269
660.0,1200,35455.041131
756.0,1442,35539.012107
3240.0,4355,35799.314016
1188.0,1548,35889.512879
660.0,1068,35949.159604
4320.0,3920,36199.493071
1380.0,1983,36310.859272
1744.0,1804,36416.2075
948.0,1500,36505.966535
996.0,1400,36587.445211
2328.0,3143,36772.241179
2160.0,2532,36920.696484
1380.0,1873,37034.136652
1432.0,2515,37177.125429
2160.0,3060,37355.954726
1140.0,1505,37445.668911
2160.0,2370,37591.516342
1044.0,1358,37672.717998
1380.0,1784,37776.764168
1332.0,2089,37896.290467
900.0,1453,37978.262115
1236.0,1785,38082.004261
900.0,1416,38165.599896
528.0,1118,38232.965436
2160.0,2955,38404.632894
900.0,1335,38479.031676
1284.0,1698,38579.387245
2160.0,2524,38731.353617
2004.0,2168,38858.531932
1536.0,1882,38973.757352
1536.0,1865,39082.875978
3252.0,3483,39285.351162
948.0,1275,39359.933286
1332.0,1609,39455.995981
1092.0,1484,39545.010547
1432.0,2294,39679.446757
660.0,1128,39745.919288
660.0,1101,39805.966063
2004.0,2473,39953.949098
1284.0,1563,40044.336731
3600.0,3972,40278.379702
948.0,1171,40345.714383
1284.0,1686,40442.588382
660.0,1251,40517.960769
1952.0,2332,40654.054323
1640.0,2142,40775.218987
1188.0,1800,40879.277007
1380.0,1655,40975.543483
1140.0,1647,41071.119207
660.0,1414,41154.080867
1188.0,1552,41243.988276
572.0,1114,41311.267684
1140.0,2046,41443.872218
1536.0,2457,41585.947389
996.0,1415,41669.904413
1900.0,2304,41810.167584
660.0,1121,41871.333053
2440.0,3135,42059.236401
1380.0,2246,42188.69242
900.0,1324,42276.150373
900.0,1378,42351.359272
1380.0,2260,42485.159299
2004.0,2319,42620.225993
1380.0,2167,42746.655888
1380.0,2204,42875.610468
1332.0,2037,42995.869102
1536.0,2210,43129.73528
1380.0,2168,43262.885189
1380.0,1852,43369.228372
1044.0,1626,43468.099456
2004.0,2673,43627.410025
2160.0,2893,43795.751205
1484.0,1610,43893.973033
3000.0,2798,44062.472848
1380.0,1708,44163.889185
1236.0,1773,44267.475541
2272.0,2445,44408.998925
1188.0,1538,44498.481795
2608.0,3171,44686.391713
3720.0,3802,44916.105119
4320.0,3823,45136.135025
996.0,1410,45222.866148
1332.0,1829,45327.323015
996.0,1528,45416.300065
2496.0,3205,45601.076414
1188.0,1726,45697.649873
1952.0,2516,45845.313741
1380.0,1691,45940.525374
1332.0,1715,46035.42939
1380.0,2365,46172.196662
3420.0,3639,46367.108825
1380.0,1994,46476.86809
3000.0,3369,46654.26403
1140.0,1427,46728.908869
948.0,1490,46808.56303
3120.0,3155,46971.016309
1188.0,1603,47057.955087
2608.0,3448,47239.151895
1284.0,1965,47339.602714
3240.0,3975,47549.055893
1380.0,2330,47670.807166
1900.0,2349,47792.068678
1140.0,1584,47883.43412
1188.0,1531,47959.408299
660.0,1177,48028.116063
1848.0,2316,48151.223434
1284.0,1811,48247.648148
1380.0,1923,48349.263196
2108.0,2382,48472.849662
1044.0,1348,48551.310512
1188.0,1831,48666.261777
3120.0,3340,48882.557353
948.0,1466,48972.066494
2160.0,2420,49125.573654
1432.0,1992,49256.060008
1188.0,1889,49373.458082
996.0,1359,49463.588495
1796.0,2487,49609.419363
852.0,1216,49685.183424
2272.0,2510,49843.490935
948.0,1329,49934.327841
2720.0,2915,50117.421596
2160.0,2353,50272.636402
2108.0,2427,50411.202489
2056.0,2583,50559.355303
1092.0,1565,50649.949861
1284.0,1701,50746.345655
948.0,1506,50835.773702
1484.0,2806,50999.189744
1044.0,1461,51080.640767
2160.0,2216,51207.870168
1588.0,1870,51317.910593
2160.0,2459,51460.345923
3000.0,3101,51640.114111
1692.0,2303,51775.916991
660.0,1082,51836.499562
1588.0,1904,51948.829707
1380.0,1918,52060.547448
1140.0,1559,52149.394936
1380.0,1832,52260.269982
1380.0,2096,52381.170129
1848.0,2366,52513.496927
1484.0,2187,52639.404243
2160.0,2458,52780.291845
1536.0,1993,52897.725482
2440.0,2779,53057.790761
804.0,1345,53132.258713
